tier,summonerId,summonerName,leaguePoints,wins,losses,puuid
CHALLENGER,KlIr7FaEIbz4LnTtD4Bx-PpONoY3KwHCamhC6TP9AWiUS4s,Liiv Howling,1001,724,656,a8MwxC_3b_7gzPx1qLIjRHwMhTrlxO9kFaXTbNw8pqYA9d1qBjgNPS56NhfCD_8FcYptjyxf2s8tIQ
CHALLENGER,lidAs6rKLM3E7n2B7kiaMqpCD97x-BQrMDS20A_NZyEdtgESGKNUJh3cqw,CaII out my name,962,142,95,RF8-YwQv8aqJ0nnx7Omv5p6uti48Nw8_rRU__WFA32Uci8kSSgQjFkerxowqFb_r4CmTIWJ9IH_bxg
CHALLENGER,_T0LyDvzu-1uYkckdjY-N5Oevjz5mq5vugSOK4MWQmhcU2A,KT Way,1310,610,520,YiLk4oJJDpWlCRFxe2z96LTIrtUI5R6_NHHMvLNnNyw2hrz3kRrhXH6OYX9CmIQ_Q-C6emwDvvS9VA
CHALLENGER,cjjoOA01KwaOYnUOfsDwWjYklXkIGH1HGzMDFfw-csPR3II,Slow start 1,854,484,426,JpwydR3JD7IRIlcp7EuTwnx5rkyeDv4O_Wq6fEGu-RuDShe7bxLqHIPjQU7zzP8ygL1g50rfl0ZfDQ
CHALLENGER,BVf2UHvPPMyMBgmq4WqnHHajFMcIgqMuRxTDjn13anF_v4AECfsusq9NgA,꿈에 보이다,1261,316,238,SYyToKSXAEiYbqDBGSJCwCwld4PX5nTZnpWYn5wh6smdf8_XymRVAxaYMyuQ5VzgvPVwIGM2UOB1bA
CHALLENGER,aBxEQNB-pVXupaF581-fH7-nCVIPH0PlCTxJapC02aOri50,기모링딩동1,892,817,753,e-_9YiThSW8-ne24GWHjRpBxkDOzd96Zq06sQ099_Tm3fcLPTUoyyIpX80I0juNfpDi5H5lOUARf2g
CHALLENGER,Tg1LklYI8m508cYuTdcApdqXd0yhH3iw3Fpb5yAxMCjBGf0,야만인 왕17,945,230,162,vYCI2dsKa4ONx5Aufp5hK4UBqz3EwrUe4nHWoa36dKmWqjAVsAhgLWFVgLAmfQX2QvRnibGbMrdwKA
CHALLENGER,-CAb6JRRgNKdIkRbWWRuyGx5o73Fj2jqNt9TqIAKkZ4FzQ,PhasedKiller,865,308,240,bCBJvGQ6JurhGgfKFqLAB_9zYHSp_ypI8288aKntWyX44I1OCqKXYPz2-lRtZsGvKz2PmFD4_eVVng
CHALLENGER,hrDS1eS40bnUW4HPdfGt4eBwGb9GZxWOSdftqBPEQyZez6_zg1lt2VqGwA,changguiiiiiiiii,1225,569,490,CDUWUKhD4qqpJyLyGTh3pB2JYI2j5YYRShoeCLy_VFuAOLiEdJR7QwRBCW02QnakBaB8U_FaGnxOfQ
CHALLENGER,vSugThiRQGYs42xQH-EQ1z_oyKs-AXoFZv1DDIB1kS0oVA,SugiKim,903,257,198,tv7qcJ61ti-rPvBiU5FKK8P9uSbUsdTl3kzm-Qc1kndCCi7RNynYFtKD-IfOXOtheSD9nXnOIrkZww
CHALLENGER,HXoZpi7W-cn8qglqOIbwN7FI6M88trU5KasaNJZjxDVR7q8,괴해신살권,859,703,645,sbZQPdGNA9M2eOhZ-930kx4-kLFD78XA8bm8OvKMx43XsYAjqGbi4u96PG50zGyzbKt7-xgC2GBV6w
CHALLENGER,IZcJDd1WjbGE6TJWIsV6lrSxF-PA_Gsq08egKtO-Dq8aZDU,손연우 남편,864,246,184,E31OsHOjzvonyCKoC-JhXE-GKdWsYsifqBpcwvm_u1keeYG7aPToJT0q0dfKdHK9BQZW04_akaRbug
CHALLENGER,of8Zk2wo8ReAgF-gEaJvvnwa24LOG7MQTw2PCJARKZoiOZM,오디나무,854,327,253,oBs1jOGy5kqKrHZGQJRq9iRzXGxaD3g-fOLkLrEnp5xesbyhihVS7GI6IKGDZg2kt6o-VfvvZq4o3g
CHALLENGER,MvD2U58-UtCoNJAcQLsPVgzoap9NdFy0bqkA5z5CsnobcuU,어딘가좀아픈사람,1105,1102,1030,zaT6FGnDURcKcBB9-i0X7cIS2Of0HRzG5QrCAP79HFg93usGqgwuGBOJlzRQ7jPFjA0C5b3-ovs9xQ
CHALLENGER,NvDUhUg3m5G6Zu5M6icAhB5ZRGEGekC1Fq2uSaLwdqa-eVQjjLhY2o2fOw,oldmaybe,891,585,498,dz706I3pV4vBPNX9VqAGYy8K8_E4No8COxKE1vK982aQl15gGwF-FcBp3-NwDWHCqFx4FT2zlVJwFQ
CHALLENGER,kj3HP7SYlEgLuM5UJUmoSG3bOO5W--GW1smbDa0Tg38nz7o,jkjkjkjkk,981,1371,1317,yA0EoJFZQJBJLNu396c0ICREQQS5E8R0r-QXdC8s5rHnytyIZV_T-boQa_GAbwo27dbyo-Mbfae4ug
CHALLENGER,p-S8CHzAydH4mJwlD5fRqHQMLp5BwLSiob-0IMHxTzb9otQ,나 요,871,311,253,Wt_UXPC6rowmyHE_iGtBT9jmvp6XsCmgAF8SiBjTdG739gGHr5KGrru4ZiVxXKxdU3b20BZlNGGy2g
CHALLENGER,X_yBBKnTlLeZGwDNHJGW6luteVgRdVb3DRgopsHYyFVt4Q8,스물다섯번째밤,1003,558,494,zQNddx8lJSDnefa8VMXVGWzNbJReD_U2PXcuq8RzhzozORmRAh9yENfbZxUBHxhkRCaHezALjW0Y4Q
CHALLENGER,34Ln_q7hxWEnIZjclIT6aB79LBadXOwO-0T5m5tgXWYakRhHIEr0EKvKjQ,Shadow 7777k,1231,184,109,tUiri7hz1zE_fVb6ZCXViN8n1yYjYanELrTGUDAF8l3HLscNX7_YfZUBYoljpUGscYWNKpuEOhRuqw
