tier,summonerId,summonerName,leaguePoints,wins,losses,puuid
CHALLENGER,Yp3K1zTM3Ergs-TFVUmljwMdtY6XfDw9IRbdh-kCSZBz_NA,밥먹고 겜하기,899,949,897,OAhp-P-_nDhU-gpMhd-7llnqWGsROvt2Spm4lMpSDtWZtilzanXvho4ZwSIOvx5PL-aJvhs0rbTCBg
CHALLENGER,xiDSCMIbRDcsJB6sNn3oAxMJFo-JusDKt_lWjyMkvP0iImY,신입 탑,994,932,871,6NeaRkvveiFyFVjwC00JNu3KzlwlCw0zWRsy72i6PnB0kT8WgfIXqHskqUds8FluVOE1D5IOjAhGBw
CHALLENGER,Tk61EqAgBZXp3leyHVvKtxPAziVB5MaYCmE0F8O1LFgzWcfO,DK Pullbae,995,989,914,s_fr-o_NQ_Kdqcp8R4tQ_W6niD0WkGtzip12ahovtPIBNaIQUNQCIHnMvatfu4-I0IkhPksMhltufw
CHALLENGER,i-rgmwZ-y2NsSmFwJuR-wsHze6q3kHgoC_FZ_ohxFyPOAHU,06 05 19,858,626,521,pz4B8C0A9ygSM5lxSC8NFzh_rtnHbzElCq0uarMwMZ5IGJjzSGupw9Us8Uyhxlg5HqJONL4KZLD6wg
CHALLENGER,fyKvQFwsNi9bfxZP_RTTnf46ywM3gEReFaC9gVYejM3QHgQ,N0T Angry,940,559,508,EYG8R4xtsktCzu72L258t0X01PQ7RZ3v1h2TqMUPfXDo8PWcTqMHKPyXtASVpzttDVPiHFNgHZ6dew
CHALLENGER,ej25QU6ps7vSNhypeJil3x-vc_FxHVA1Aabl7kFcrSVz5k5JppQ9iHGhJw,Shadow Rabblt,906,270,213,fTNosFrc6kRyj1s-0pB8RkQSZ5q9ujsL6qrxE3g0boDsvwqWcYQOYQfPl-lsf7PNrsO7QgJ687BsOw
CHALLENGER,Rk7PxX_8-VexrDKTYGtuP87VrjbB72Mz4EPSMpLsGPe38w,lIllIIlIIlIIlII,1062,515,440,nk0kKRm3ZF6wg6YAmgXstthQ8Q6ERR_We2ap3yc369_5VR6mJOG9y-vSYOpHEpcxwsDszQ4BlznjsA
CHALLENGER,V_VuPZAF1-QQe3q0p0o3SZRnVWwafbzrkXbQJf3WN6UgwJbZ,Mung,886,323,242,ZClCowoLCdSU2UwRDlWs8Vgzis4NPoNIcFPZWhfvq2jgeq4hWmx__vZwBlPkBrloH5GrigXAEWbvww
CHALLENGER,mDUOd7ZCP0iBfsxE3yVWlMM7pyPc3fzF5B7iXo_P7U4SGDY,항상배고픈코그모,1199,887,799,AosV9G850rgptA-rYOmqnsnqdUyQBJtWGlMEYHtcOaopoRg09E4c4KEm26ezjf-vnsNclSnt2N4o_w
CHALLENGER,kIdeFMGfFwAENqoSMC3JIP1swgM74Z38EzOg0qCzDuTT1Q,원딜연습중입니닷,855,231,169,ImuIhj7_mGVoVy1US1cQg2158PTA5CFqve-7drgWKZ5DKnr7YID0LFzOhGSJFAftEOSPHk9vVegXTg
CHALLENGER,Ri4Bu9N4SDzSByPjwN_i4W6kDfA6LNHmK-zFpDPHsn3GdN4,이 차가 식기전에,940,665,608,4lXbfHzYG5qQXQUIR_p1ZP2BenXhlThNunBDBmmtMymj4Y8898PNoKfCSi1z1S7A2jEmi46ImBb0qQ
CHALLENGER,6wUeLnkTedw3HKavpYrTRrXPvk_N5ODYZkitErD4sfSh98o,graves pick plz,862,1031,985,0
CHALLENGER,SOjq6AuJMw3uxmsCrOfh-EhEgwFHyyb3ufJ-qvYmfFel-XI,인생은회전목마1,895,825,759,EnWp_QM1HjXEANhcbpVaV8wIIjr1P5rWCergES7AkRBGWIkD0BDokSGZcOrS6nZtsi3rv3frJlHviQ
CHALLENGER,N40vj6v0PuplFh16FJa8rkueUVGjIygUEdHlBT_K6M3hvAY,빙밍잉,882,349,294,19sHgkr79dTzRZUMTz8vr4V6l0w3sKL56DXdY5obS3RIf-RcD1893GP9Jr-bPnuxvjYGeKQuo3PjVg
CHALLENGER,LqqPQaWg-RuVqnQyux_IyIoKJ3uXIQwwcoHaj15RmqsZvYOP1TXiBr3oUA,wzn0413,920,383,321,O1MyYlLQ1dK_0UGSeMdvo1joPZ4ED2h5meE6S-4du5wg22HcCQNnbTJOHyU2xfdUbohj60BGDrYKtw
CHALLENGER,W_9VYyMNUoQNPfuG6k9gh1joJDn1wBc-EsM6uK5luzAp09A,Gen G Burdol,879,353,275,NT74Lho7yPLmgDbhX7SJl1ZyQJwUBoZ1dmAIC2aomdjttnLDW18qbngV537qkFUfPvO50vYoOlJS3g
CHALLENGER,oODujGT8A3MkP4kIeN-qLDd9BGykIAN2_LGwombieZcEBks,RiHoo,893,812,756,Smq0-olcjPwdCdoxEfPYYiq197bEOD5pDog6l7caaPyVnKPJrGWQnpC9tGTzU0boMc-MHBkj-l17nw
CHALLENGER,5L3hHD-2IIIeq5CeprKucBpPSaiGaeRNPcr5VUPzVea7dkU,은가뉴,1349,467,376,K4Lj16dPL2q48pI0AzhEeBMU-hx-s9uipub6X-pYg3Oa0r4Ek5sLNhCaEii_Ot116IvrsBmRU_gSMQ
CHALLENGER,wprQwKAmh4XGspqTgOD87AC9BGZetTo2o5Tbt-FB1mw0NO4,BRO Hena,1082,1414,1348,ZvcboxMvL5kV2TxTCw4duXil7_GReuQuQFfpjSvEROuTL_vIsIC3O27VK4L9Zdh4VtvTQqvlOvT_JA
CHALLENGER,JpLLy5zLRL3QWhs3k5aORQOySmFWkhHSlCmcqSEdd3ppVR_xYu2vp8sIlw,순뀨박,865,229,175,QlILxzW1wOX61_3ZFW_UE2L93jzmLc0Nz3FJtaQ71gQ_1pliOHEVZYFl_OBQgbhLPUOI9hP-qfE6pA
CHALLENGER,5kqOa-6WDMM1DBecrpFYATx80hV-B75F1VsEiuLAcJb7reeDe4R2oFwvEQ,cxzqweasd,938,294,236,5kMR49XC_mZa7KbmB_IKZuGHjCTYdoFwDPyp8rmFTOtY4vQ57PcYrz9lyThgYNylTV63toTIgDu9_Q
CHALLENGER,5aE41rNaoc9rsTRaFxEEsBFe-mxYjg2i2RMx8NHlOnCJBXw,Gen G Dice,919,587,526,0
CHALLENGER,D0coGKv9ReJ5fqcEBfeops6a_i30H1bp_vvk6FEIS8v_T-yM6x6UbSwqQg,Shadow2003,945,174,123,_jILS678yomm6yDwnqr4RK2GJCzCZl8G2MzmlhLsdPKJSY-D9uVRvk4Lt_R90aKbWu6K_2xI0c1MqQ
CHALLENGER,HGllIUIe5s5WRH9vDq_2ti7gShWAxIE2ZYuYrHGT4tN_EvI,C1 Akshan,1106,608,523,tmvLad2XV8vnJYVZeNlMP8xFor4eTa1UfYlSDQLi-YFyuFlPunLh7_iAdspA4iAkv6WcHSD22MFiSA
CHALLENGER,pZCgkPbfnccaLGW9mLDVRzCryxG7CH676WPEMo7Tr5SwNek,Liiv Effort,1043,387,306,tUOcK21EIGN4PTs-8rc3gRlZH67wVjxvgz5dq6LJSvBEp_wY11idtMEqUNAxm0xV2bTlD_YCWrVsLg
CHALLENGER,FwRRXjUUi62In2oU2yu7fREfwks1INv29Z4o_b4Z3BtKqps,아이러니2,1416,769,656,u9MQz2LnHtk19sc40dbgo8hWRPp3PNx5UavWmghvAZI0nNUiXDjT-eNVh1Pw66zgzkPgdRINL6_4ew
CHALLENGER,bzgdL5_G4TkXF5HB6Vlt80ksbqsNK7E-RwtClEUCUn1CUK4,BRO Delight,1129,1002,930,r6nJu85HtbrKDE0mg_MloQBCoTkQIuGoObMArzfXVWBRWQauKScwzWTvPxixTMk8Ez9NFwIZ08UXhg
CHALLENGER,-sb5X2VtZilZUNC1nxzxRIPhXZ_1kA9yusCITPifGUmp0gO8,독기품기,1216,343,257,2lvVzIiq5_eJsL2qr7YcXcimwbTC5nC3SgCBU9aFF3ybFyjiWCaHZFOu_vEXzm0s6gLKdhrz8Fz3Uw
CHALLENGER,h0V5hpvg6TXu4L_QzN5k-R6HLnQtQFIvBxDbtQyJ66kjNQ,초보강아지,863,369,312,lmu0mk4Xd8pjTSPMm7alKypv_smWcvIlg3RSGZT9Ym2aCExhaTOwlxMirYQXkQubx_hVPLc7S1OvLA
CHALLENGER,qWOUQDfliKVOlNTeXX1bbaD2A4S9QF-gjXY6rlkslvaB1nU,it calls echoes,869,1076,1025,dcbsogYdy7YAq8zutT1VeYLlTEHrrhSmqGAYJrLt1MJlAvAU6S8TpSA5hWn5IotEnym4xhALDhh0pQ
CHALLENGER,Oyx0jRu9PfpJRZNh8BMlcMap-b2ZLkJ1sKwL84GrVQG3oMc,AF Ellim,1123,465,384,IupqEV4WIF9wFamDV14lX2zparGwEHKHs3tYsHNb1q_lcj6P-MMwZt7LB-Lr2vqGnRYng42Opq2yYg
CHALLENGER,xGuTt_SDkgkDo2pp63Z_CCCu0lrTnviyOHOUByWN5i_hnUX4AkYVcOykOg,그래 내가 걔다 1,1087,316,266,E1SiA1Fq95-4oaEnzVlcd4w28RM0MKfkyArbPecghz8NMD5O2bLy04SmTvz9Y-F52bwaied9FdIUOQ
CHALLENGER,WVvmqbKvm4F-Vgwsue-Qde9AWkkReMmHnSjmpkaxkl1QS44,01 t0p,870,687,627,0
CHALLENGER,HMwZJZvMYktqlfhIXRboqmEOWHEqjEBdKqcQYel7xnYW74I,원딜은무기력하다,858,217,168,vJAZ8EsFNdywtaHa-fY2nZ_BdqpOL927VVrhPtjwQhGLKxmHKHQnfIeGlPsDsH3KQX4BWJbFmOBm8w
CHALLENGER,naQoT1ySg9U43Drg6CeAEFw57uOT-qHoe5EHaKRMCAE6tQ,Naehyun,1031,841,781,QJwYaNtrswE-Hismi7n8WS-nybht_OB5BihqrbLP-uQChh_D67uppzYKXtFURqM_6nWxIK5IaWJZiA
CHALLENGER,Z1QJgUzY1zyWrlp3rwP1hrWKFvyvW8-WYCdGVbATI14HoUzFWRqk-5q1fQ,qwjqonl,1326,211,135,rlIrMVzi9kJSxLrm9F0nZ-IUHNvYr3PpQaZsDqyDvlAzieLewA1vbIG7x8KQJi175ySDP-4ovkzllg
CHALLENGER,cJgM6VU7xVMgClqrwk56Z8LvoG58YkLYj7Ko9D9Emvi-gjU4Q5Kg6GEvkw,SimYM,982,819,738,oDCD4RS4g1w7i_BHMCzn5aEbemmeTM21mo_KCtP-8J7ej8dgypVKsRj5HqnUdRVmwDC9tbEYXKuZ5A
CHALLENGER,qiuwd02Q-TTcaFBu3gKi7Ruj8JLuwaTJxF2RV4fqb9m2UJ0,Croquette,855,592,537,wQ664nJO7EzLZ9MUD1nyEYml4OyAvMuRZLhszD34vRifxCcYyxoBKYNPSgmf_OpTubLIVFHD4W95NA
CHALLENGER,C4BVs8XSxbyntg4d_IOQ091FJ9yrtSxRMJ3591lSWq--rG63071bo5O2nQ,qtopgjpqokpofkq,913,1311,1248,Y5nyGod0IXtP8tQV0wS0IvROm4j7kcbJTQTvF4N5T82ool0LOq7ywSL98ttoWNa3-du0I9Oc2kp9rw
CHALLENGER,FBkE7cz82MA7b09kw0lKEOGaMIbkepPhbf1hBMSK0dXSR18,어쩌면 영원히,851,373,312,a6yb0sTruTD_kzQI-2AApVp497HHZOyxnnb4_3gNVpdJ2HdPs0SfQNhXnsdIw7gvhARCkp76Rz1oHQ
CHALLENGER,juRVC5K1C7xmt8TCvmrAPoDg7-FQy8sj35ZjfRChWp1hYQ,Axiyo,899,239,176,tRlMQjv1s9M_1ztxUTmSBfR5f2RvScriBEUx4y1eKq9D3W2OjCQccHd91wkm3Ww0vI82qWY81A9Tnw
CHALLENGER,3LQV-k0xGKnrwzidPOECM93S_8t8kK1bwWFzwbGITqajNr4,Gen G Khael,1227,493,424,RPBgJk1-VkLpajYaEnppT3XywYvipl3Sd3w2AhcHqDEGz4Mu7zytKqjFAfsvO86YzGFmGS8oPt5vWQ
CHALLENGER,3-1qHawMHo73NGm6gpTewtTkI8KqeVKVLI0eOUTe-MGqIdk,700125,896,930,873,R7dSVF8kNjG2afuCFJWCA9V8MFthlgnMIUEthfYi_d0KMefIevembUmpMxuFfzWnTPLJJP9pVBf0DQ
CHALLENGER,woRyjcpINyMrX_pCuQepy-qRVZjCjl247rHxKAajtzRcIhBcRZ7H4r6RmQ,갈망갈망갈망갈망,862,214,168,3YZrfURO-U_h-n4t6jW-Wg0dCxK8zKNCVmB-4IKIfiTjVLeHXaeFCdWa2ILtayRWdCh0bNaadfhImw
CHALLENGER,2BzZ0HrzPsVB25kiX2tt7166sx65NIjxwUilmMB7wN3WeoodavGDeVJ2fQ,zika1,938,937,857,eXP7h2TOX0LZ5js7jO4HBRTcdrtPUtFemmGaKICSoEuwhJAJGc3eJ04K1rgbZXmo9NADlZqq2UuRFw
CHALLENGER,KWU5nnVtIcChMouBS2yEjzH5Q9QFWINRoHh2ZWeOODWqZv8,모두안녀엉,1225,638,561,9mDRGFANkaoD-ig11YpUbFukq8clhUtd3SJ4NRQejOkzTzfVi9zG5gnScyT71YE6pk4cTkd9Az2p9A
CHALLENGER,ENYLiF6M4C-8tNZNhuY8jbNPszLyzQW0qj3t081Iud-GJi_GvrDa8DEMtw,포소포소,862,769,721,89wIthIlH1Zqf4KMCcqYTqCxOfqDCpZvEcUf0rtpnVvLbSbvG2YK-yXRK2xTjMirxPZXrj-gvT2lIA
CHALLENGER,4Kr_706bN5Ry3Gp1lDvY9UcWd02lfKW7r7MSlUQbsQK1plI,bao1,1227,383,302,4nXSw4h7WsA24gbCg156RutY5tniVXVizUD0YysxPmqliCvcUpserc3WY4ZTGRCb6dJ8qETPwY7hyw
CHALLENGER,dw6iJOPtj_fCbWgNq3mzRa9PjXGQOpoyHU5PKSqgWybx7w,대포내꺼 퉤퉤,886,390,319,wAgEr8-Tc1Uapl1YzybgpYgX0YT5LDgCbFjnW1j0J5w4rNGxfnSb54EF2EDu_bnUkTMPL0EIji1APQ
CHALLENGER,6UHsvIbNkYZ97-Le4VdC9hIWZB0Q4-shKn2uIcbK3h7OgDXZXISRrixbHg,살퀸레,1030,643,571,cTZAA85t-ggixqbymGOlPgoP1UpzC0jGI5Sz3rhldL787h3-xhomwlF2dhR-D8ajmRP6YZIlSwujtw
CHALLENGER,aO1xsaXXikbblW_kEpLyoTdgsOPFp4y0oqUzI6N6Ny9pXw,FIORAKlNG,867,330,274,wcMztGa-CtpnSRSgUkT8DxDAQAJSSK826NHVJsFeiT8FN6eH_iwIAjJvXNeVJd4N5Ujbh8PLft57hQ
CHALLENGER,EszJlPw3QWdlzC4ZafTX5XGEI7BcJShXLx9a3_HPwvEkfm4,zzzusss,1213,419,341,e32pb76MMx1wlQxq8mjlrRP-_AlELS1ghf3-0roA3rNluF8Gguk-Wv1AXBnpn89LBIAW0qxcaDDJUg
CHALLENGER,HQJBuql5AMF_85BWpXwdGYQkbJ4vQU_V_KI4nYL7kqydkVQ,Yellow,880,296,215,ax7l_vwp0ItyqXAzKS37gSZ64m76IjavHmvU8wodWScoX5TuFs9-DTzZDKUuzLjbNwzeCt0I2TAyoA
CHALLENGER,DUYZsILodZQE-Er6rWx4TgvS1bNbRVEeXJvVLoFPg80dJjo,미소녀우진,957,530,403,qzSQuIHoMBk-KrWw29wYZJ0YJihHA780Ea2eoEq_1BngDTB_WHYCEihADtQgWtH8UR9A3MQ78FsY9Q
CHALLENGER,rXDPY4KHP9GcjJbNtDwJwCLfxvRLwNSnGTwsU4dcjdDHZbo,97S,868,267,217,0
CHALLENGER,EVVq8xk_r9fWyRlIOIsBj1U8A9FtHRV9ElpSEMR_5VWbn2I,FA Jool,965,1142,1079,OrILIfbtz9bmgUzXrrWkfedQD-jC9eGwa5USMPwZF83wFIZkDivd17f5pbLQfkOc_tdlTmmCPGLSbw
CHALLENGER,R3BMezT8ooLN9OQ4Sl3hgg7B3TcPieoaUmUbJZ6wT9M05Zk,나는 준일하다,1307,399,316,FharU81FpvrAlH8g6vkZ7HC8X50Ikp1XaI_SdP5AhDYGEmvcZ_897UrtE-atPd6Zc48jDkFLDIKUEw
CHALLENGER,jXmb_ex6EDmaNzlABuFLW_HZnhZ1-lgGQ63Y7MLfVeuHfr4,Youtube heeseong,880,384,317,fEUFUiTZ7wtp4b487HurK3Uz_LgijnFUX22JgNnYD3BRZnxoLDzKRjAwm9Wdb24WlI6GCjOROWriuA
CHALLENGER,bZt0Og60Fu0Ybp-EjIXwdwb9ljlGwLqeLCl_5PlPcfIKaiHcnmy6jnsPqg,Tomo456,984,325,263,fMQpBEF1GBIIbmXu-SK8ENGFgUGu1sPZAlXtmYJG3YQY_d04v3HYe69jd3SI72BA6W3R2f41m5wMYQ
CHALLENGER,4EXZo_08rrI_2Cap7Bt5R14oAcRczHQAeV6AUzZt3nb5jK8,nounnoun,863,490,427,zaGWun0-2otvyMatkv1LcAsZsKti89LT--DLE1Nb7qZjA3MVE-BFTasejJlQYmdG4_YenrrHXy8dqw
CHALLENGER,ePVLPsDE_B0e8ObJ_55tQtrQ9lEZZT6ltLAxmwQozyJl0vk9cdWVTCcuGw,jianguoqiang,981,1036,965,mtRP2PUaHC6osA_IASGFdzNNJKU1TTv_8iAl0VwBN4O98jHzVNFpKDVwHHecAqFdOEU11OEsfNY15Q
CHALLENGER,wIZjmbCx9p4cKHgHYGr1FNOAd1hbJwkvh-E1R5xz4WjvVU1tXwBWXyH3IA,23gg,974,147,99,tV1bDFY14BcW-i0YCPl5Y6-Mv8JwbvG-OcIipzL93EG5NnwhWN_POHaZsBP9gY1MB6eKF6c4xMcz7Q
CHALLENGER,UYV19ojSnJoGKSLY1bo-OW0vGHTgAzPy2GlvxBmkg1LSih0,디알엑스 제트,1110,1539,1463,Pzs2VnHuio1yMGFUa-XRk6ESlhkgQDXy7KTjsByyMOt28u5RAmwIta32j8VPxBianWFh-8iqvN5YPQ
